|foundation_model|aggregator|classifier|fold|benign_auroc|bowens_auroc|bcc_auroc|scc_auroc|benign_auprc|bowens_auprc|bcc_auprc|scc_auprc
42|prism|gabmil-8_heads|MLP|0|0.8347076461769115|0.813963963963964|0.9638554216867469|0.9970544918998527|0.7944444609849302|0.7101286696841054|0.9539407820597172|0.9682539682539683
43|prism|abmil-8_heads|MLP|3|0.8391200636098595|0.8526162790697676|0.9857871720116618|0.9848053181386515|0.7770482291321206|0.7355799437896492|0.9519147208630228|0.8027657527657528
44|prism|gabmil-8_heads|MLP|3|0.8433607209117413|0.8703488372093022|0.9930758017492711|0.9838556505223172|0.7761743717458527|0.747299016830564|0.9786883503401359|0.7064694564694566
45|prism|gabmil-8_heads|MLP|2|0.8810035842293907|0.8056027164685908|0.9702439024390245|0.9653465346534654|0.8029591865086125|0.6314110655590326|0.9316102366666105|0.7722222222222221
46|prism|abmil-8_heads|MLP|4|0.8238031914893618|0.8125925925925926|0.9597883597883597|0.9697802197802198|0.734094675316923|0.7134616305931386|0.9384615384615389|0.6215118215118214
47|prism|gabmil-1_heads|MLP|1|0.8688586545729403|0.8724109362054682|0.9812925170068028|0.9974226804123711|0.8340034547999613|0.767595715549923|0.9543757412178464|0.9704861111111112
48|prism|abmil-8_heads|MLP|1|0.844671201814059|0.8380281690140845|0.969954648526077|0.9871134020618556|0.8011788061271484|0.6721611221559318|0.9465181421405773|0.8886113886113886
49|prism|abmil-1_heads|MLP|1|0.8507180650037793|0.8471416735708368|0.9812925170068028|0.9974226804123711|0.7851547836391229|0.7336498168994942|0.957613814756672|0.9704861111111112
50|prism|gabmil-8_heads|MLP|4|0.8028590425531914|0.8174074074074074|0.9497354497354498|0.9711538461538461|0.7037939454584702|0.7083379221459647|0.9212680587590469|0.6328754578754578
51|prism|gabmil-8_heads|MLP|1|0.8492063492063492|0.8135874067937034|0.9648526077097506|0.9922680412371134|0.7967263528215885|0.661756831390276|0.9444444444444444|0.9248511904761905
52|prism|gabmil-1_heads|MLP|4|0.8018617021276596|0.8248148148148148|0.9661375661375662|0.9574175824175825|0.7242040427484198|0.6919374731049744|0.926655954779573|0.4792207792207791
53|prism|abmil-8_heads|MLP|0|0.8497001499250375|0.8247747747747748|0.961560527825588|0.9882179675994108|0.8083953106701542|0.7134104030107624|0.9458082728040711|0.8441043083900227
54|prism|abmil-1_heads|MLP|4|0.7992021276595744|0.8174074074074074|0.9666666666666666|0.9574175824175825|0.7188935698127618|0.6978565954286645|0.920044983298546|0.4705516705516705
55|prism|gabmil-1_heads|MLP|3|0.8274582560296846|0.8761627906976744|0.9894314868804666|0.9810066476733144|0.789708696169121|0.7405393654070783|0.9639910876244477|0.7315153981820648
56|prism|gabmil-1_heads|MLP|0|0.830584707646177|0.8031531531531532|0.9598393574297188|0.9882179675994108|0.7554505561375122|0.6814229885145761|0.9386294559352684|0.8441043083900227
57|prism|gabmil-1_heads|MLP|2|0.8888888888888888|0.8285229202037352|0.9624390243902439|0.9768976897689768|0.8545485498699722|0.6708533410203014|0.9355689644033298|0.7278138528138527
58|prism|abmil-8_heads|MLP|2|0.9043010752688172|0.7767402376910018|0.9736585365853658|0.9735973597359736|0.8470686828676165|0.6146475536438112|0.9310198301347179|0.7244047619047619
59|prism|abmil-1_heads|MLP|3|0.8266631327855818|0.8694767441860465|0.9908892128279884|0.9772079772079771|0.7862184272804861|0.744839807453778|0.969855221555532|0.7017815517815518
60|prism|GAP|xgb|0|0.7256371814092953|0.6351351351351351|0.7670682730923695|0.9734904270986745|0.6885131767530115|0.4620491496010699|0.5766534837839531|0.7861678004535148
61|prism|GAP|xgb|1|0.8148148148148148|0.691797845898923|0.913265306122449|0.9780927835051547|0.7077244174815712|0.5921583500717195|0.7359249115101729|0.8305555555555555
62|prism|GAP|xgb|2|0.8261648745519714|0.6218166383701188|0.8736585365853659|0.966996699669967|0.7463481037853695|0.3611070826184755|0.7086683859543865|0.6404401154401155
63|prism|GAP|xgb|3|0.7927378743705275|0.6616279069767441|0.9045189504373178|0.982905982905983|0.7197191462768054|0.5040746531359642|0.7387961247816145|0.7407999407999408
64|prism|GAP|xgb|4|0.7529920212765958|0.6888888888888888|0.8354497354497354|0.951923076923077|0.6890599910799471|0.5529010896323687|0.6232196905118867|0.5050754800754801
65|prism|GAP|lr|0|0.8197151424287856|0.8094594594594595|0.9070567986230635|0.9941089837997055|0.7752443131242911|0.677771708172717|0.8556384114532036|0.936734693877551
66|prism|GAP|lr|1|0.8344671201814058|0.7970173985086992|0.9835600907029478|0.9896907216494846|0.7947303995298537|0.6666793008769304|0.935681524071617|0.9128787878787878
67|prism|GAP|lr|2|0.8415770609318997|0.7130730050933786|0.9609756097560976|0.9570957095709571|0.7601692148793106|0.5357665814473546|0.8850811055679617|0.8378136200716846
68|prism|GAP|lr|3|0.8560826928173867|0.8125|0.9639212827988338|0.9971509971509971|0.7996251776300112|0.6863657554258332|0.8598386389447884|0.9722222222222223
69|prism|GAP|lr|4|0.7835771276595744|0.7574074074074074|0.9322751322751323|0.9381868131868132|0.7206833313860407|0.6084499386709712|0.8064215256067171|0.4572364978380016
70|gigapath|GAP|xgb|0|0.7410044977511244|0.6693693693693694|0.7676419965576592|0.9131075110456554|0.7199198298375262|0.4228228683954994|0.6330097872537861|0.7055933484504913
71|gigapath|GAP|xgb|1|0.8049886621315193|0.6503728251864126|0.8764172335600907|0.9716494845360825|0.6909702999479974|0.5396853095829274|0.594176505106784|0.7543612637362638
72|gigapath|GAP|xgb|2|0.8043010752688172|0.5831918505942275|0.8692682926829268|0.9636963696369637|0.7101540391150045|0.3941755676123434|0.6869784121039503|0.6125272331154684
73|gigapath|GAP|xgb|3|0.8256029684601113|0.6531976744186047|0.8137755102040816|0.982905982905983|0.8019057581902861|0.43394774174465933|0.5971443686568535|0.7097001763668431
74|gigapath|GAP|xgb|4|0.7719414893617021|0.6159259259259259|0.8031746031746031|0.9835164835164836|0.6712975321870658|0.48289044763383737|0.5552845639589179|0.7825757575757575
