id,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660045-6,0.827247191011236,-1.0,0.9382022471910112,-1.0,0.11095505617977519,0.0
660347-1,0.8665730337078652,-1.0,0.7563202247191011,-1.0,0.1102528089887641,0.0
660604-06,0.8061797752808989,-1.0,0.9164325842696629,-1.0,0.110252808988764,0.0
660486-5,0.9129213483146067,-1.0,0.8054775280898876,-1.0,0.1074438202247191,0.0
660335-5,0.9726123595505618,-1.0,0.8665730337078652,-1.0,0.1060393258426966,0.0
660211-1,0.8616573033707865,-1.0,0.9655898876404494,-1.0,0.1039325842696629,0.0
660198-1,0.7471910112359551,-1.0,0.8497191011235955,-1.0,0.1025280898876404,0.0
660137-2,0.9459269662921348,-1.0,0.8448033707865169,-1.0,0.10112359550561789,0.0
660365-1,0.988061797752809,-1.0,0.8876404494382022,-1.0,0.1004213483146068,0.0
660573-04,0.976123595505618,-1.0,0.8757022471910112,-1.0,0.1004213483146068,0.0
660213-1,0.8279494382022472,-1.0,0.7289325842696629,-1.0,0.0990168539325843,0.0
