,group1,group2,test_stat,p_value
115,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'GAP', 'lr')",592.0,0.0006584892676218559
116,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'GAP', 'xgb')",818.0,2.7284841053187847e-12
117,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'PRISM', 'MLP')",111.0,0.9999505845728729
118,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'PRISM', 'lr')",259.0,0.9795993024781637
119,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'PRISM', 'xgb')",255.0,0.9821978351883445
120,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",395.0,0.581622494635667
121,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",404.0,0.422551661702029
122,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",354.0,0.7741330305070733
123,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",431.0,0.3926017246240008
124,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'GAP', 'MLP')",803.0,1.8826540326699615e-10
125,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'GAP', 'lr')",820.0,9.094947017729282e-13
126,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'GAP', 'xgb')",776.0,3.589566486386706e-08
127,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'abmil-1_heads', 'MLP')",815.0,9.094947017729282e-12
128,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'abmil-8_heads', 'MLP')",820.0,9.094947017729282e-13
129,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'gabmil-1_heads', 'MLP')",817.0,4.547473508864641e-12
130,"('gigapath', 'abmil-1_heads', 'MLP')","('resnet18', 'gabmil-8_heads', 'MLP')",820.0,9.094947017729282e-13
131,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'GAP', 'MLP')",751.0,2.3828943085391074e-07
132,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'GAP', 'lr')",661.0,0.00023972647068148945
133,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'GAP', 'xgb')",733.0,1.3368562576943077e-06
134,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",232.0,0.9862690812535505
135,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",404.0,0.5344238749457872
136,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",303.0,0.9250488122415845
137,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",347.0,0.8012880840624348
138,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gabmil-1_heads', 'MLP')",391.0,0.49443294199811766
139,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",372.0,0.6957470890120021
140,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",815.0,9.094947017729282e-12
141,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",762.0,1.0443828665576653e-07
142,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",820.0,9.094947017729282e-13
143,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",777.0,3.321211344063411e-08
144,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",798.0,4.874891601502895e-10
145,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",816.0,6.366462912410498e-12
146,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'GAP', 'MLP')",740.0,5.191183099911957e-07
147,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'GAP', 'lr')",613.0,0.0009292341182955261
148,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'GAP', 'xgb')",819.0,1.8189894035458565e-12
149,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'PRISM', 'MLP')",117.0,0.9999304363023042
150,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'PRISM', 'lr')",257.0,0.9809352779384426
151,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'PRISM', 'xgb')",233.0,0.992061889026445
152,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",361.0,0.7450429445379996
153,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",318.0,0.8424937493914665
154,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",324.0,0.8760364041090725
155,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",403.0,0.5397038658484234
156,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'GAP', 'MLP')",804.0,1.5370460459962487e-10
157,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'GAP', 'lr')",820.0,9.094947017729282e-13
158,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'GAP', 'xgb')",816.0,6.366462912410498e-12
159,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'abmil-1_heads', 'MLP')",816.0,6.366462912410498e-12
